date, pm25, pm10, o3, no2, so2, co
2023/11/2, , 94, 15, , 4, 2
2023/11/3, , 29, 18, , 4, 4
2023/11/4, , 19, 27, , 5, 5
2023/11/5, , 34, 22, , 9, 11
2023/11/6, , 32, 19, , 9, 4
2023/11/7, , 43, 19, , 4, 14
2023/11/8, , 31, 16, , 5, 6
2023/11/9, , 33, 10, , 13, 9
2023/11/10, , 74, 14, , 11, 6
2023/11/11, , 53, 8, , 29, 8
2023/11/12, , 87, 16, , 21, 6
2023/11/13, , 65, 10, , 20, 9
2023/11/14, , 86, 21, , 11, 7
2023/11/15, , 43, 17, , 7, 5
2023/11/16, , 28, 14, 4, 13, 18
2023/11/17, , 44, 15, 38, 17, 15
2023/11/18, , 92, 40, 9, 18, 8
2023/11/19, , 67, 16, 18, 15, 7
2023/11/20, , 58, 41, 5, 7, 4
2023/11/21, , 34, 70, 4, 5, 3
2023/11/22, , 23, 33, 13, 25, 16
2023/11/23, , 60, 36, 5, 15, 13
2023/11/24, , 53, 46, 7, 10, 
2023/11/25, , 26, 35, 12, 17, 
2023/11/26, , 49, 68, 12, 8, 
2023/11/27, , 22, 55, 10, 14, 
2023/11/28, , 48, 53, 11, 18, 
2023/11/29, , 40, 30, 22, 21, 
2023/11/30, , 75, 11, 42, 36, 
2023/12/1, , 104, 19, 34, 40, 
2023/12/2, , 104, 29, 48, 30, 
2023/12/3, , 94, 29, 14, 20, 
2023/12/4, , 65, 46, 14, 18, 9
2023/12/5, , 54, 36, 23, 22, 13
2023/12/6, , 63, 50, 16, 30, 14
2023/12/7, , 77, 48, , 8, 12
2023/12/8, , 30, 32, , 10, 28
2023/12/9, , 49, 36, , 6, 3
2023/12/10, , 36, 39, , 8, 3
2023/12/11, , 20, 35, , 7, 4
2023/12/12, , 34, 23, , 13, 6
2023/12/13, , 47, 25, , 15, 7
2023/12/14, , 40, 45, , 12, 3
2023/12/15, , 32, 25, , 32, 12
2023/12/16, , 46, 38, , 38, 18
2023/12/17, , 74, 51, , 15, 3
2023/12/18, , 36, 26, , 28, 13
2023/12/19, , 76, 35, , 19, 10
2023/12/20, , 52, 32, , 29, 11
2023/12/21, , 67, 46, , 22, 7
2023/12/22, , 53, 24, , 39, 10
2023/12/23, , 85, 20, , 53, 9
2023/12/24, , 90, 12, , 41, 11
2023/12/25, , 81, 37, , 18, 8
2023/12/26, , 47, 23, , 23, 8
2023/12/27, , 44, 33, , 26, 7
2023/12/28, , 41, 43, , 22, 6
2023/12/29, , 41, 51, , 14, 1
2023/12/30, , 31, 57, , 19, 4
2023/12/31, , 31, 22, , 34, 21
2023/7/1, , 46, 26, , 2, 2
2023/7/2, , 32, 23, , 2, 2
2023/7/3, , 43, 23, , 2, 2
2023/7/4, , 42, 17, , 2, 3
2023/7/5, , 15, 33, , 4, 2
2023/7/6, , 18, 30, , 4, 4
2023/7/7, , 33, 13, , 3, 5
2023/7/8, , 51, , , , 
2023/7/16, , 40, 47, , 3, 1
2023/7/17, , 35, 47, , 2, 1
2023/7/18, , 30, 32, , 5, 3
2023/7/19, , 37, 35, , 6, 3
2023/7/20, , 46, 40, 1, 4, 
2023/7/21, , 45, 29, , 5, 1
2023/7/22, , 14, 28, 1, 2, 
2023/7/23, , 20, 33, 3, 5, 
2023/7/24, , 25, 45, 1, 2, 
2023/7/25, , 37, 34, 2, 4, 
2023/7/26, , 34, 32, 3, 1, 2
2023/7/27, , 36, 29, 3, 14, 1
2023/7/28, , 64, 41, 1, 2, 1
2023/7/29, , 46, 44, 2, 1, 3
2023/7/30, , 54, 40, 1, 1, 1
2023/7/31, , 65, 32, 2, 3, 1
2023/8/1, , 64, 32, 2, 1, 6
2023/8/2, , 53, 21, 2, 19, 5
2023/8/3, , 56, 26, , 14, 5
2023/8/4, , 58, 41, , 3, 18
2023/8/5, , 48, 39, , 3, 13
2023/8/6, , 34, 28, , 3, 3
2023/8/7, , 25, 43, , 3, 1
2023/8/8, , 46, 35, , 4, 4
2023/8/9, , 87, 35, , 2, 4
2023/8/10, , 26, 34, , 2, 3
2023/8/11, , 22, 36, , 3, 2
2023/8/12, , 34, 35, , 3, 2
2023/8/13, , 55, 25, , 2, 1
2023/8/14, , 35, 30, , 3, 3
2023/8/15, , 33, 31, , 2, 5
2023/8/16, , 45, 29, , 4, 4
2023/8/17, , 41, 29, , 5, 3
2023/8/18, , 33, 27, , 8, 3
2023/8/19, , 57, 28, , 3, 1
2023/8/20, , 47, 22, , 2, 2
2023/8/21, , 25, 28, , 2, 4
2023/8/22, , 29, 19, , 3, 4
2023/8/23, , 55, 18, , 15, 3
2023/8/24, , 47, 28, , 3, 3
2023/8/25, , 36, 28, , 2, 2
2023/8/26, , 27, 37, , 3, 3
2023/8/27, , 26, 21, , 13, 4
2023/8/28, , 57, 29, , 5, 3
2023/8/29, , 49, 29, , 2, 2
2023/8/30, , 61, 31, , 2, 3
2023/8/31, , 35, 30, , 2, 3
2023/9/1, , 51, 32, , 5, 3
2023/9/2, , 58, 32, , 8, 2
2023/9/3, , 34, 34, , 4, 3
2023/9/4, , 29, 43, , 3, 3
2023/9/5, , 46, 67, , 1, 4
2023/9/6, , 80, 34, , 1, 3
2023/9/7, , 41, 5, , 2, 3
2023/9/8, , 37, , , 4, 2
2023/9/9, , 47, , , 1, 3
2023/9/10, , 18, 23, , 6, 3
2023/9/11, , 37, 18, , 8, 3
2023/9/12, , 62, 23, , 3, 3
2023/9/13, , 75, 11, , 4, 5
2023/9/14, , 69, 15, , 1, 12
2023/9/15, , 13, 19, , 2, 4
2023/9/16, , 12, 22, , 2, 2
2023/9/17, , 15, 27, , 2, 3
2023/9/18, , 23, 21, , 6, 3
2023/9/19, , 50, 20, , 5, 1
2023/9/20, , 54, 20, , 5, 2
2023/9/21, , 54, 28, , 2, 2
2023/9/22, , 68, 39, , 3, 1
2023/9/23, , 52, 20, , 6, 2
2023/9/24, , 22, 36, , 3, 1
2023/9/25, , 26, 24, , 18, 4
